Rot,VH,Team,Pitcher,Final,Open,Close,Run Line,Column1,Open OU,Column2,Close OU,Column3,Adj_Date,RunLine,OpenOU,CloseOU
901,N,SEA,MGONZALES-L,9,107,120,1.5,-160,8.5,-110,8.5,-120,20190320,,,
902,N,OAK,MFIERS-R,7,-127,-130,-1.5,140,8.5,-110,8.5,100,20190320,,,
903,N,SEA,YKIKUCHI-L,5,109,-125,1.5,-262,9,-110,9,-130,20190321,,,
904,N,OAK,MESTRADA-R,4,-129,115,-1.5,216,9,-110,9,110,20190321,,,
905,V,NYM,JDEGROM-R,2,110,115,1.5,-215,6.5,-110,6.5,-105,20190328,,,
906,H,WAS,MSCHERZER-R,0,-121,-125,-1.5,180,6.5,-110,6.5,-115,20190328,,,
907,V,STL,MMIKOLAS-R,4,104,104,1.5,-205,8.5,-110,8.5,-120,20190328,,,
908,H,MIL,JCHACIN-R,5,-114,-114,-1.5,172,8.5,-110,8.5,100,20190328,,,
909,V,ATL,JTEHERAN-R,4,170,170,1.5,-130,7.5,-110,8,-105,20190328,,,
910,H,PHI,ANOLA-R,10,-190,-185,-1.5,110,7.5,-110,8,-115,20190328,,,
911,V,PIT,JTAILLON-R,3,105,107,1.5,-215,8,-110,8.5,-105,20190328,,,
912,H,CIN,LCASTILLO-R,5,-115,-117,-1.5,180,8,-110,8.5,-115,20190328,,,
913,V,ARI,ZGREINKE-R,5,144,155,1.5,-145,7.5,-110,7,-120,20190328,,,
914,H,LAD,HRYU-L,12,-160,-165,-1.5,125,7.5,-110,7,100,20190328,,,
915,V,SFO,MBUMGARNER-L,0,-114,117,1.5,-190,8,-110,7.5,-105,20190328,,,
916,H,SDG,ELAUER-L,2,104,-127,-1.5,162,8,-110,7.5,-115,20190328,,,
917,V,COL,KFREELAND-L,6,-145,-135,-1.5,120,7.5,-110,7.5,-105,20190328,,,
918,H,MIA,JURENA-R,3,131,125,1.5,-140,7.5,-110,7.5,-115,20190328,,,
919,V,BAL,ACASHNER-R,2,296,320,1.5,161,9,-110,9,110,20190328,,,
920,H,NYY,MTANAKA-R,7,-340,-380,-1.5,-188,9,-110,9,-130,20190328,,,
921,V,DET,JZIMMERMANN-R,2,126,132,1.5,-152,9,-110,8.5,-120,20190328,,,
922,H,TOR,MSTROMAN-R,0,-140,-142,-1.5,133,9,-110,8.5,100,20190328,,,
923,V,HOU,JVERLANDER-R,5,-121,-128,-1.5,133,6.5,-110,7,100,20190328,,,
924,H,TAM,BSNELL-L,1,110,118,1.5,-152,6.5,-110,7,-120,20190328,,,
925,V,LAA,TCAHILL-R,0,110,-108,-1.5,144,9,-110,8.5,-115,20190328,,,
926,H,OAK,MFIERS-R,4,-121,-102,1.5,-165,9,-110,8.5,-105,20190328,,,
927,V,CLE,CKLUBER-R,0,-135,107,1.5,-210,7.5,-110,7.5,110,20190328,,,
928,H,MIN,JBERRIOS-R,2,122,-117,-1.5,176,7.5,-110,7.5,-130,20190328,,,
929,V,CWS,CRODON-L,3,104,106,1.5,-195,8.5,-110,8.5,-105,20190328,,,
930,H,KAN,BKELLER-R,5,-114,-116,-1.5,166,8.5,-110,8.5,-115,20190328,,,
