Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Open OU,Column1,Close OU,Column2,Year,Adj_Date
929,1,V,Anaheim,0,0,1,1,-155,-123,6,100,6,-105,2007,9292007
929,2,H,LosAngeles,1,1,2,4,135,103,6,-120,6,-115,2007,9292007
930,51,V,LosAngeles,0,1,0,1,115,132,6,-115,6,112,2007,9302007
930,52,H,Anaheim,2,2,0,4,-135,-152,6,-105,6,-132,2007,9302007
1003,1,V,Anaheim,0,2,0,2,165,190,5.5,105,5.5,120,2007,10032007
1003,2,H,Detroit,1,0,1,3,-185,-230,5.5,-125,5.5,-140,2007,10032007
1003,3,V,Montreal,1,0,1,3,130,140,6,-105,6,110,2007,10032007
1003,4,H,Carolina,1,0,1,2,-150,-160,6,-115,6,-130,2007,10032007
1003,5,V,Ottawa,2,0,1,4,-120,-125,6,-120,6,-135,2007,10032007
1003,6,H,Toronto,2,1,0,3,100,105,6,100,6,115,2007,10032007
1003,7,V,Dallas,0,1,2,3,115,135,5.5,-115,5.5,-115,2007,10032007
1003,8,H,Colorado,1,3,0,4,-135,-155,5.5,-105,5.5,-105,2007,10032007
1004,51,V,Toronto,0,2,0,2,170,150,6,-130,6,-125,2007,10042007
1004,52,H,Ottawa,1,1,1,3,-200,-170,6,110,6,105,2007,10042007
1004,53,V,Florida,0,2,0,2,160,170,5.5,-105,5.5,100,2007,10042007
1004,54,H,NYRangers,1,0,4,5,-180,-190,5.5,-115,5.5,-120,2007,10042007
1004,55,V,NewJersey,1,0,0,1,115,115,5.5,105,5.5,120,2007,10042007
1004,56,H,TampaBay,0,1,2,3,-135,-135,5.5,-125,5.5,-140,2007,10042007
1004,57,V,Colorado,0,0,0,0,-105,100,5.5,-130,5.5,-125,2007,10042007
1004,58,H,Nashville,2,1,1,4,-115,-120,5.5,110,5.5,105,2007,10042007
1004,59,V,Chicago,0,0,0,0,175,190,5,-130,5,-135,2007,10042007
1004,60,H,Minnesota,0,1,0,1,-205,-230,5,110,5,115,2007,10042007
1004,61,V,SanJose,0,0,2,2,-135,-145,5.5,-110,5.5,110,2007,10042007
1004,62,H,Edmonton,0,0,2,3,115,125,5.5,-110,5.5,-130,2007,10042007
1004,63,V,Philadelphia,2,0,1,3,155,130,5.5,-110,5.5,-105,2007,10042007
1004,64,H,Calgary,0,1,1,2,-175,-150,5.5,-110,5.5,-115,2007,10042007
1004,65,V,St.Louis,0,0,2,2,-115,-120,5.5,-120,5.5,-125,2007,10042007
1004,66,H,Phoenix,0,1,2,3,-105,100,5.5,100,5.5,105,2007,10042007
1005,1,V,Anaheim,0,0,0,0,-110,-120,5.5,-110,5.5,110,2007,10052007
1005,2,H,Columbus,2,0,2,4,-110,100,5.5,-110,5.5,-130,2007,10052007
1005,3,V,Pittsburgh,0,0,1,1,-110,-110,6.5,-105,6.5,100,2007,10052007
1005,4,H,Carolina,2,2,0,4,-110,-110,6.5,-115,6.5,-120,2007,10052007
1005,5,V,NYIslanders,3,2,1,6,160,160,6,-120,6,-125,2007,10052007
1005,6,H,Buffalo,3,1,0,4,-180,-180,6,100,6,105,2007,10052007
1005,7,V,Washington,2,0,1,3,120,135,6.5,-115,6.5,-115,2007,10052007
1005,8,H,Atlanta,0,1,0,1,-140,-155,6.5,-105,6.5,-105,2007,10052007
1005,9,V,Boston,0,1,0,1,160,160,5.5,-105,5.5,110,2007,10052007
1005,10,H,Dallas,1,2,1,4,-180,-180,5.5,-115,5.5,-130,2007,10052007
1005,11,V,SanJose,3,0,0,3,-105,105,5,-115,5,-115,2007,10052007
1005,12,H,Vancouver,0,0,1,1,-115,-125,5,-105,5,-105,2007,10052007
1006,51,V,Montreal,1,2,0,3,120,135,6,100,6,-110,2007,10062007
1006,52,H,Toronto,1,1,1,4,-140,-155,6,-120,6,-110,2007,10062007
1006,53,V,Buffalo,1,0,1,2,-125,-130,6,-120,6,-125,2007,10062007
1006,54,H,NYIslanders,0,1,2,3,105,110,6,100,6,105,2007,10062007
1006,55,V,NYRangers,0,0,0,0,105,110,6,-110,6,-115,2007,10062007
1006,56,H,Ottawa,2,0,0,2,-125,-130,6,-110,6,-105,2007,10062007
1006,57,V,Carolina,0,0,0,0,105,110,6.5,-105,6.5,110,2007,10062007
1006,58,H,Washington,1,1,0,2,-125,-130,6.5,-115,6.5,-130,2007,10062007
1006,59,V,NewJersey,1,2,1,4,108,130,5.5,115,5.5,135,2007,10062007
1006,60,H,Florida,1,0,0,1,-128,-150,5.5,-135,5.5,-155,2007,10062007
1006,61,V,Anaheim,1,1,2,4,158,150,6,-115,6,110,2007,10062007
1006,62,H,Pittsburgh,1,2,2,5,-178,-170,6,-105,6,-130,2007,10062007
1006,63,V,Atlanta,0,1,1,2,125,115,6,-105,6,-110,2007,10062007
1006,64,H,TampaBay,1,2,2,5,-145,-135,6,-115,6,-110,2007,10062007
1006,65,V,Philadelphia,0,3,0,3,-115,-120,5.5,-110,5.5,-105,2007,10062007
1006,66,H,Edmonton,0,3,2,5,-105,100,5.5,-110,5.5,-115,2007,10062007
1006,67,V,Dallas,0,0,1,1,110,105,5.5,-110,5.5,125,2007,10062007
